#{"t_start": 1770588151.5883014, "env_id": "LunarLander-v3"}
r,l,t
259.24191,388,218.252614
257.144594,321,218.514154
241.398985,414,218.855437
273.433276,260,219.067538
250.214102,201,219.231485
226.966121,221,219.41451
310.823986,248,219.61832
225.031145,345,219.898747
275.97184,495,220.310527
-20.136908,1000,221.13657
282.141729,213,221.309216
186.488902,673,221.853158
220.252128,475,222.238472
231.838895,341,222.520224
272.230534,277,222.749371
276.259416,252,222.954458
245.65927,362,223.250448
240.443496,400,223.578954
275.116663,248,223.780606
287.178091,397,224.105521
250.563182,203,224.271582
221.100711,451,224.641424
244.914366,274,224.864019
256.383391,652,225.394953
250.789831,204,225.573664
310.273865,285,225.809433
279.662098,234,225.997832
301.351698,270,226.2185
271.152902,191,226.371935
302.894344,279,226.600949
256.761806,357,226.890235
298.032567,485,227.289875
283.311111,223,227.470161
245.80149,588,227.948774
251.764614,313,228.20506
286.367752,254,228.409126
259.969356,407,228.738978
270.106941,259,228.955755
248.110697,414,229.289181
248.8255,241,229.48331
271.285497,360,229.790984
259.741368,194,229.956053
263.261277,440,230.316852
232.595108,757,230.939837
280.824353,323,231.204581
243.227381,331,231.476754
283.706189,343,231.756105
259.7305,612,233.141244
310.602263,228,233.301715
290.764587,349,233.550583
284.654523,352,233.798553
277.169628,266,233.984514
296.515877,236,234.150358
252.772791,428,234.452259
261.579315,652,234.91735
266.301458,429,235.220916
287.549597,360,235.474357
294.229205,221,235.63307
265.709086,653,236.093556
279.704003,346,236.337052
281.201946,282,236.536828
259.365926,318,236.762702
290.875898,270,236.957806
282.720623,284,237.160178
257.794523,575,237.568769
306.62159,304,237.783805
271.401281,256,237.965294
250.70797,218,238.117982
256.816736,422,238.416529
268.697471,282,238.614523
294.364235,646,239.079652
292.777268,189,239.21293
281.326866,397,239.493803
247.317495,365,239.751692
254.880712,390,240.034394
215.393008,329,240.269398
270.874986,243,240.444244
253.558278,369,240.706567
234.74306,609,241.138458
223.194795,556,241.533588
237.279194,528,241.912043
204.433792,617,242.331623
258.214539,336,242.559981
248.814493,552,242.937061
232.571473,316,243.149942
285.924799,463,243.466129
234.012276,562,243.847616
302.633649,192,243.97746
303.950997,273,244.16221
298.059631,209,244.305035
284.92999,240,244.468255
273.389232,310,244.678638
256.807286,540,245.042657
281.308739,262,245.220213
276.64901,332,245.444648
262.29525,412,245.7223
267.46788,298,245.924515
304.414224,223,246.076996
287.109225,230,246.231468
287.967649,315,246.447002
262.089205,322,246.662492
287.156391,176,246.791647
282.869227,342,247.037115
293.863119,225,247.197472
258.249949,298,247.408264
239.525437,387,247.68179
281.607091,372,247.944992
304.873492,232,248.10961
290.970235,289,248.316159
272.932799,249,248.494215
272.448409,308,248.712444
265.912644,515,249.080916
267.175021,624,249.524193
242.514825,676,250.003893
254.406783,450,250.32693
265.280005,290,250.893629
302.538667,437,251.204003
35.067001,172,251.32794
291.149926,255,251.508054
261.266097,431,251.814487
253.022464,270,252.006327
258.546193,386,252.282109
258.663208,310,252.50345
267.734479,539,252.88996
278.465411,522,253.262657
293.216322,233,253.429268
295.409675,169,253.549554
304.194356,194,253.685498
259.29418,355,253.938341
257.462368,287,254.141972
260.903581,267,254.329449
257.825557,173,254.4526
267.905661,265,254.642958
273.090247,207,254.790244
274.564107,632,255.241446
250.27545,543,255.624267
259.556118,451,255.944605
275.491065,243,256.116904
251.691851,323,256.34705
253.741397,243,256.518655
34.520708,150,256.625426
250.443514,246,256.80035
228.48566,476,257.140367
239.991727,338,257.382817
294.295953,398,257.660569
252.01855,309,257.878767
274.02122,220,258.032536
266.233998,274,258.224863
124.431291,1000,258.930455
281.252051,572,259.340624
273.086719,273,259.531801
266.258736,236,259.702273
301.712345,355,259.954046
296.672176,269,260.145822
279.065636,380,260.412477
265.730408,181,260.540699
246.27859,357,260.791808
298.932251,401,261.074686
281.684871,421,261.369141
216.523461,374,261.630915
277.784323,633,262.077249
284.5518,313,262.299794
48.662206,144,262.405429
233.930705,529,262.777602
51.035621,164,262.893192
250.281135,369,263.155737
251.943609,241,263.325531
287.860054,439,263.63547
287.621626,245,263.80808
252.097992,295,264.01593
274.451339,303,264.231365
-40.474475,125,264.318011
55.163305,162,264.43064
